Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	796	369818	370897	1079	Board_Screen	1	0,38752	0,41176	3,55016
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	797	370917	371117	200	Board_Screen	1	0,24905	0,33518	3,53987
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	798	371137	372516	1379	Board_Screen	1	0,33958	0,50361	3,42147
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	799	372536	373656	1119	Board_Screen	1	0,38581	0,54229	3,39334
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	800	373676	374695	1019	Board_Screen	1	0,36732	0,51545	3,31544
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	801	374915	374995	80	Classroom_Others	1	0,70301	0,45163	3,31314
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	802	375055	375155	100	Anna	1	0,53369	0,45893	3,3098
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	803	375215	375355	140	Bianca	1	0,66022	0,43769	3,44567
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	804	375375	375974	600	Bianca	1	0,56257	0,46942	3,49136
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	805	376074	376234	160	Anna	1	0,40109	0,48208	3,64923
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	806	376274	376414	140	Bianca	1	0,59259	0,46059	3,77485
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	807	376794	377134	340	Board_Screen	1	0,31196	0,43736	3,70925
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	808	377154	377334	180	Board_Screen	1	0,42035	0,44022	3,45762
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	809	377374	377593	220	Board_Screen	1	0,48813	0,4994	3,34115
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	810	377633	377973	340	Board_Screen	1	0,37647	0,54129	3,34107
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	811	378253	378753	500	Bianca	1	0,5382	0,37334	3,50368
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	812	378813	378893	80	Anna	1	0,31692	0,31851	3,7261
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	813	379332	379692	360	Board_Screen	1	0,35999	0,58341	3,70321
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	814	380052	381291	1239	Bianca	1	0,53563	0,46121	3,57891
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	815	381411	382071	660	Bianca	1	0,53783	0,44767	3,62698
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	816	382131	382211	80	Anna	1	0,36323	0,43528	3,57442
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	817	382411	382710	300	Bianca	1	0,57499	0,43645	3,58135
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	818	382810	383050	240	Bianca	1	0,5681	0,451	3,67313
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	819	383070	383290	220	Nametag_Bianca	1	0,55983	0,58753	3,72725
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	820	383390	384449	1059	Bianca	1	0,56159	0,38384	3,63464
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	821	384529	384849	320	Bianca	1	0,54477	0,39903	3,74097
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	822	384869	385069	200	Classroom_Others	1	0,49214	0,39271	3,81438
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	823	385089	385789	700	Bianca	1	0,53034	0,3486	3,65693
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	824	385889	386128	240	Bianca	1	0,54008	0,34391	3,79989
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	825	386208	386308	100	Carl(a)	1	0,75974	0,15406	3,71257
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Partial	826	386328	386408	80	Carl(a)	1	0,70654	0,33499	3,71237
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	827	386488	386688	200	Carl(a)	1	0,68694	0,27956	3,77737
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	828	386768	387248	480	Bianca	1	0,46795	0,33718	3,75854
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	829	387328	387428	100	Bianca	1	0,51282	0,35484	3,67773
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Partial	830	387448	387767	320	Nametag_Bianca	1	0,52109	0,50564	3,69761
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	831	387887	389167	1279	Bianca	1	0,54344	0,33962	3,62929
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	832	389267	390946	1679	Bianca	0,98809	0,56279	0,34711	3,74717
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	833	390966	391605	640	Bianca	1	0,56821	0,35356	3,76856
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	834	391625	391805	180	Classroom_Others	1	0,514	0,33693	3,70021
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	835	391825	392445	620	Bianca	1	0,57089	0,34018	3,72994
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	836	392545	392844	300	Anna	1	0,3315	0,41079	3,78961
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	837	393024	393344	320	Bianca	1	0,56513	0,39767	3,75517
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Partial	838	393364	393584	220	Classroom_Others	1	0,529	0,40283	3,74013
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	839	393704	393944	240	Bianca	1	0,60593	0,44385	3,5744
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	840	394004	394563	560	Anna	1	0,46401	0,43436	3,60172
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	841	394843	395383	540	Board_Screen	1	0,35296	0,43888	3,65151
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	842	395403	395823	420	Board_Screen	1	0,30853	0,46239	3,50872
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	843	395863	396023	160	Board_Screen	1	0,406	0,45297	3,51048
Recording085	ProVisioNET_study_210_02	Male	Expert	Lesson	1	fullstream	Fixation	Whole	844	396422	397062	640	Bianca	1	0,56278	0,43158	3,61555
