Recording	Participant	Gender	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1677	619102	619142	40							257,23	357,51		Material_Teacher		0,50406	0,66645		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Partial	972	619302	620202	899	Classroom_Others	1	0,44948	0,91744	4,58388										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1678	620202	620221	20							266,92	266,92		Classroom_Others		0,44948	0,91744		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1679	620321	620381	60							323,08	366,2			Material_Teacher			0,4262	0,36976
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	973	620381	620541	160	Material_Teacher	1	0,4262	0,36976	4,84489										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1680	620541	620561	20							350,42	350,42		Material_Teacher		0,4262	0,36976		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1681	620641	620701	60							385,18	441,14			Material_Students			0,67864	0,11656
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	974	620701	620801	100	Material_Students	1	0,67864	0,11656	4,57801										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1682	620801	620841	40						244,7	130,6	138,31	13,49	Material_Students	Material_Students	0,67864	0,11656	0,56866	0,34917
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	975	620841	621201	360	Material_Students	1	0,56866	0,34917	4,37363										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1683	621201	621221	20							611,82	611,82		Material_Students		0,56866	0,34917		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1684	621301	621401	100							171,57	229,74			Carl(a)			0,67597	0,48702
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	976	621401	622020	620	Carl(a)	1	0,67597	0,48702	4,4529										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1685	622020	622040	20						128,9	165,01	165,01	7,42	Carl(a)	Material_Students	0,67597	0,48702	0,6003	0,39324
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	977	622040	622560	520	Material_Students	1	0,6003	0,39324	4,54673										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1686	622560	622580	20							240,15	240,15		Material_Students		0,6003	0,39324		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1687	622700	622720	20							300,82	300,82			Carl(a)			0,62592	0,38953
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Partial	978	622720	623180	460	Carl(a)	1	0,62592	0,38953	4,63299										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Partial	979	623200	623599	400	Carl(a)	1	0,64204	0,38583	4,62299										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1688	623599	623619	20							227,49	227,49		Carl(a)		0,64204	0,38583		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1689	623719	623779	60							280,36	345,71						0,3382	0,32746
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	980	623779	623979	200	Bianca	0,80006	0,3382	0,32746	4,58724										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Whole	1690	623979	623999	20						310,44	105,48	105,48	13,1	Bianca	Material_Students	0,3382	0,32746	0,46443	0,47557
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Fixation	Whole	981	623999	625019	1019	Material_Students	1	0,46443	0,47557	4,50963										
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1691	625019	625059	40							292,73	294,11		Material_Students		0,46443	0,47557		
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1692	625119	625159	40							711,75	711,75							
Recording129	ProVisioNET_study_234_02	Female	Expert	Lesson	1	fullstream	Saccade	Partial	1693	625219	625238	20							110,81	110,81			Material_Students			0,63417	0,57289
